,Title,Year,Genre,IMDB_Score,Metascore,Votes,US_Gross
72,Despicable Me,2010,"Animation, Comedy, Family",7.7,72,459557,936662225
73,Moana,2016,"Animation, Adventure, Comedy",7.6,81,219030,936662225
74,Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi",5.7,32,281077,936662225
75,Maleficent,2014,"Action, Adventure, Family",7,56,301538,936662225
76,Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",6.6,45,442894,936662225
77,Furious 6,2013,"Action, Crime, Thriller",7.1,61,344006,936662225
78,Shrek Forever After,2010,"Animation, Adventure, Comedy",6.3,58,165210,936662225
79,Brave,2012,"Animation, Adventure, Comedy",7.1,69,334272,936662225
80,Oz the Great and Powerful,2013,"Adventure, Family, Fantasy",6.3,44,191143,936662225
81,Fantastic Beasts and Where to Find Them,2016,"Adventure, Family, Fantasy",7.3,66,357643,936662225
82,X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",8,75,611558,936662225
83,Doctor Strange,2016,"Action, Adventure, Fantasy",7.5,72,491290,936662225
84,Justice League,2017,"Action, Adventure, Fantasy",6.5,45,318866,936662225
85,Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",7.7,72,443199,936662225
86,The Martian,2015,"Adventure, Drama, Sci-Fi",8,80,668335,936662225
87,Logan,2017,"Action, Drama, Sci-Fi",8.1,77,543942,936662225
88,The Fate of the Furious,2017,"Action, Crime, Thriller",6.7,56,176105,936662225
89,Big Hero 6,2014,"Animation, Action, Adventure",7.8,74,364696,936662225
90,Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",7.8,86,221922,936662225
91,Alvin and the Chipmunks: The Squeakquel,2009,"Animation, Comedy, Family",4.5,41,38589,936662225
92,Ted,2012,"Comedy, Fantasy",6.9,62,534070,936662225
93,How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1,74,601788,936662225
94,Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",7.1,70,212329,936662225
95,Madagascar 3: Europe's Most Wanted,2012,"Animation, Adventure, Comedy",6.8,60,144512,936662225
96,Bohemian Rhapsody,2018,"Biography, Drama, Music",8.1,49,310691,936662225
97,A Star Is Born,2018,"Drama, Music, Romance",7.8,88,223620,936662225
98,The Lorax,2012,"Animation, Adventure, Comedy",6.4,46,89270,936662225
99,Solo: A Star Wars Story,2018,"Action, Adventure, Fantasy",7,62,213274,936662225
100,Venom,2018,"Action, Sci-Fi, Thriller",6.8,35,250966,936662225
101,Fast Five,2011,"Action, Crime, Thriller",7.3,66,327143,936662225
102,Coco,2017,"Animation, Adventure, Comedy",8.4,81,263717,936662225
103,Mission: Impossible - Ghost Protocol,2011,"Action, Adventure, Thriller",7.4,73,424282,936662225
104,Sherlock Holmes,2009,"Action, Adventure, Crime",7.6,57,544063,936662225
105,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",7.6,79,386559,936662225
106,Thor: The Dark World,2013,"Action, Adventure, Fantasy",7,54,526035,936662225
107,The Amazing Spider-Man 2,2014,"Action, Adventure, Sci-Fi",6.6,53,383303,936662225
108,World War Z,2013,"Action, Adventure, Horror",7,63,547551,936662225
109,Cinderella,2015,"Drama, Family, Fantasy",6.9,67,140142,936662225
110,Ralph Breaks the Internet,2018,"Animation, Adventure, Comedy",7.2,71,71138,936662225
111,Tangled,2010,"Animation, Adventure, Comedy",7.8,71,361474,936662225
112,Godzilla,2014,"Action, Adventure, Sci-Fi",6.4,62,343605,936662225
113,Spectre,2015,"Action, Adventure, Thriller",6.8,60,348920,936662225
114,Monsters vs. Aliens,2009,"Animation, Action, Adventure",6.5,56,134336,936662225
115,Ice Age: Dawn of the Dinosaurs,2009,"Animation, Action, Adventure",7,50,201063,936662225
116,Mission: Impossible - Rogue Nation,2015,"Action, Adventure, Thriller",7.4,75,307487,936662225
117,22 Jump Street,2014,"Action, Comedy, Crime",7,71,315886,936662225
118,Cars 2,2011,"Animation, Adventure, Comedy",6.2,57,136017,936662225
119,Teenage Mutant Ninja Turtles,2014,"Action, Adventure, Comedy",5.8,31,191176,936662225
120,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",8.5,87,160318,936662225
121,Wreck-It Ralph,2012,"Animation, Adventure, Comedy",7.7,72,338325,936662225
122,Dunkirk,2017,"Action, Drama, History",7.9,94,454963,936662225
123,A Quiet Place,2018,"Drama, Horror, Mystery",7.6,82,286722,936662225
124,Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,74,1272163,936662225
125,The Croods,2013,"Animation, Action, Adventure",7.2,55,175230,936662225
126,Sherlock Holmes: A Game of Shadows,2011,"Action, Adventure, Crime",7.5,48,390461,936662225
127,Pitch Perfect 2,2015,"Comedy, Music",6.4,63,129090,936662225
128,The Revenant,2015,"Action, Adventure, Biography",8,76,609352,936662225
129,Lincoln,2012,"Biography, Drama, History",7.4,86,226993,936662225
130,Thor,2011,"Action, Adventure, Fantasy",7,57,665624,936662225
131,Ant-Man,2015,"Action, Adventure, Comedy",7.3,64,481925,936662225
132,X-Men Origins: Wolverine,2009,"Action, Adventure, Sci-Fi",6.6,40,431103,936662225
133,Men in Black 3,2012,"Action, Adventure, Comedy",6.8,58,305894,936662225
134,Home,2015,"Animation, Adventure, Comedy",6.6,55,85118,936662225
135,Night at the Museum: Battle of the Smithsonian,2009,"Adventure, Comedy, Family",6,42,158854,936662225
136,How to Train Your Dragon 2,2014,"Animation, Action, Adventure",7.8,76,272094,936662225
137,Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi",7.6,68,469340,936662225
138,Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",6.9,66,645876,936662225
139,The Karate Kid,2010,"Action, Drama, Family",6.2,61,144626,936662225
140,Get Out,2017,"Horror, Mystery, Thriller",7.7,84,380378,936662225
141,The Lego Batman Movie,2017,"Animation, Action, Comedy",7.3,75,113611,936662225
142,The Boss Baby,2017,"Animation, Adventure, Comedy",6.3,50,91175,936662225
143,Crazy Rich Asians,2018,"Comedy, Romance",7,74,84875,936662225
144,The Greatest Showman,2017,"Biography, Drama, Musical",7.6,48,193412,936662225
145,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy",6.6,39,222702,936662225
146,Tron,2010,"Action, Adventure, Fantasy",6.8,49,293851,936662225
147,Mary Poppins Returns,2018,"Comedy, Family, Fantasy",7,66,41061,936662225
148,True Grit,2010,"Adventure, Drama, Western",7.6,80,281311,936662225
149,The Help,2011,Drama,8.1,62,388530,936662225
150,Hotel Transylvania 2,2015,"Animation, Comedy, Family",6.7,44,91116,936662225
151,Hidden Figures,2016,"Biography, Drama, History",7.8,74,167639,936662225
152,Bridesmaids,2011,"Comedy, Romance",6.8,75,247599,936662225
153,Kong: Skull Island,2017,"Action, Adventure, Fantasy",6.6,62,230714,936662225
154,Gone Girl,2014,"Drama, Mystery, Thriller",8.1,79,750747,936662225
155,Hotel Transylvania 3: Summer Vacation,2018,"Animation, Adventure, Comedy",6.3,54,39051,936662225
156,Fifty Shades of Grey,2015,"Drama, Romance, Thriller",4.1,46,276206,936662225
157,2012,2009,"Action, Adventure, Sci-Fi",5.8,49,325101,936662225
158,Kung Fu Panda 2,2011,"Animation, Action, Adventure",7.2,67,225118,936662225
159,The Proposal,2009,"Comedy, Drama, Romance",6.7,48,269696,936662225
160,Clash of the Titans,2010,"Action, Adventure, Fantasy",5.8,39,254203,936662225
161,The SpongeBob Movie: Sponge Out of Water,2015,"Animation, Adventure, Comedy",6,62,42838,936662225
162,Django Unchained,2012,"Drama, Western",8.4,81,1192927,936662225
163,Jason Bourne,2016,"Action, Thriller",6.6,58,188204,936662225
164,Grown Ups,2010,Comedy,6,30,208430,936662225
165,Ice Age: Continental Drift,2012,"Animation, Adventure, Comedy",6.6,49,173287,936662225
166,Straight Outta Compton,2015,"Biography, Drama, History",7.9,72,163638,936662225
167,The Heat,2013,"Action, Comedy, Crime",6.6,60,152447,936662225
168,Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure, Family, Fantasy",6.7,52,144196,936662225
169,Halloween,2018,"Horror, Thriller",6.7,67,81402,936662225
170,Star Trek Beyond,2016,"Action, Adventure, Sci-Fi",7.1,68,207275,936662225
171,X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",7,52,346962,936662225
172,Snow White and the Huntsman,2012,"Action, Adventure, Drama",6.1,57,257110,936662225
173,San Andreas,2015,"Action, Adventure, Drama",6.1,43,190148,936662225
174,Fast & Furious,2009,"Action, Crime, Thriller",6.6,46,240014,936662225
175,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",8.1,90,768429,936662225
